,status,pnl,duration,dd,open,close,entry,exit,ddtms,ddv,created_at,side,tx,txi
7,closed,0.006,210.0,-0.009882018601446779,1659313800000,1659326400000,23365.0,23224.0,1659319320000,23453.5,2022-08-01 00:00:00,sell,1m,-3
6,closed,0.0061,94.0,-0.010999358014123689,1659335160000,1659340800000,23224.0,23365.0,1659338160000,23108.0,2022-08-01 00:00:00,buy,1m,-4
20,closed,0.0061,216.0,-0.012732892216611526,1659486240000,1659499200000,22833.0,22972.0,1659488700000,22679.5,2022-08-03 00:00:00,buy,1m,-4
21,closed,0.0059,716.0,-0.029731847466480932,1659513840000,1659556800000,23109.5,22972.0,1659528900000,23655.0,2022-08-03 00:00:00,sell,1m,-2
22,closed,0.0053,665.0,-0.023605010926242453,1659516900000,1659556800000,23232.5,23109.5,1659528900000,23655.0,2022-08-03 00:00:00,sell,1m,2
23,closed,0.0053,163.0,-0.010631658237382977,1659518220000,1659528000000,23356.0,23232.5,1659524760000,23479.5,2022-08-03 00:00:00,sell,1m,3
24,closed,0.0048,5.0,-0.005287720500085631,1659524760000,1659525060000,23467.5,23356.0,1659524760000,23479.5,2022-08-03 00:00:00,sell,1m,4
8,closed,0.006,15.0,-0.012411726942007276,1659528900000,1659529800000,23506.0,23365.0,1659528900000,23655.0,2022-08-01 00:00:00,sell,1m,-2
25,closed,0.0073,13.0,-0.00798977309044423,1659528900000,1659529680000,23640.5,23467.5,1659528900000,23655.0,2022-08-03 00:00:00,sell,15m,2
19,closed,0.0085,433.0,-0.02115359348311654,1659631620000,1659657600000,22640.5,22833.0,1659636780000,22350.0,2022-08-03 00:00:00,buy,15m,-4
5,closed,0.0382,587.0,-0.03763348260420255,1659636780000,1659672000000,22368.5,23224.0,1659636780000,22350.0,2022-08-01 00:00:00,buy,15m,-2
37,closed,0.0084,20298.0,-0.11935856432125089,1659663720000,1660881600000,22703.0,22512.0,1660533420000,25199.0,2022-08-05 00:00:00,sell,1m,2
38,closed,0.0083,7080.0,-0.06754613927674756,1659664800000,1660089600000,22893.0,22703.0,1659960540000,24236.5,2022-08-05 00:00:00,sell,1m,3
39,closed,0.0035,570.0,-0.023325907482636615,1659666600000,1659700800000,22974.0,22893.0,1659679500000,23427.0,2022-08-05 00:00:00,sell,1m,4
40,closed,0.0029,570.0,-0.019717942021415514,1659666600000,1659700800000,23041.0,22974.0,1659679500000,23427.0,2022-08-05 00:00:00,sell,15m,-2
55,closed,0.0034,35.0,-0.006464575871407355,1659831000000,1659833100000,22971.5,22894.0,1659832920000,23042.0,2022-08-07 00:00:00,sell,1m,-3
54,closed,0.0034,66.0,-0.005463291469864832,1659833640000,1659837600000,22894.0,22971.5,1659833880000,22846.0,2022-08-07 00:00:00,buy,1m,-4
56,closed,0.0045,2879.0,-0.05506823672811963,1659873660000,1660046400000,23076.0,22971.5,1659960540000,24236.5,2022-08-07 00:00:00,sell,1m,-2
57,closed,0.0043,35.0,-0.004810192407696308,1659878700000,1659880800000,23176.0,23076.0,1659878700000,23187.0,2022-08-07 00:00:00,sell,1m,2
58,closed,0.0021,47.0,-0.0048541594753192955,1659892380000,1659895200000,23224.5,23176.0,1659892380000,23288.5,2022-08-07 00:00:00,sell,1m,3
59,closed,0.0014,1.0,-0.002755710564274796,1659892380000,1659892440000,23257.5,23224.5,1659892380000,23288.5,2022-08-07 00:00:00,sell,1m,4
60,closed,0.0017,57.0,-0.00563259163710631,1659906180000,1659909600000,23297.5,23257.5,1659906420000,23388.5,2022-08-07 00:00:00,sell,15m,2
61,closed,0.0056,1574.0,-0.04030475372894087,1659937560000,1660032000000,23429.5,23297.5,1659960540000,24236.5,2022-08-07 00:00:00,sell,15m,3
62,closed,0.0095,1530.0,-0.03444375680232186,1659940200000,1660032000000,23655.0,23429.5,1659960540000,24236.5,2022-08-07 00:00:00,sell,15m,4
63,closed,0.0003,9.0,-0.004016064257028112,1659940200000,1659940740000,23662.5,23655.0,1659940260000,23750.0,2022-08-07 00:00:00,sell,1h,3
41,closed,0.026,1770.0,-0.051885768846838244,1659940200000,1660046400000,23655.0,23041.0,1659960540000,24236.5,2022-08-05 00:00:00,sell,15m,2
9,closed,0.0078,1530.0,-0.031077171785926998,1659940200000,1660032000000,23690.0,23506.0,1659960540000,24236.5,2022-08-01 00:00:00,sell,1m,2
10,closed,0.0116,691.0,-0.02306880540312368,1659947340000,1659988800000,23967.0,23690.0,1659960540000,24236.5,2022-08-01 00:00:00,sell,1m,3
11,closed,0.0089,175.0,-0.011244628030208204,1659960300000,1659970800000,24182.5,23967.0,1659960540000,24236.5,2022-08-01 00:00:00,sell,1m,4
42,closed,0.0218,715.0,-0.024582540689072077,1659960300000,1660003200000,24182.5,23655.0,1659960540000,24236.5,2022-08-05 00:00:00,sell,15m,3
76,closed,0.0028,4.0,-0.00423799932863377,1660003860000,1660004100000,23765.0,23832.0,1660003860000,23731.0,2022-08-09 00:00:00,buy,1m,-3
77,closed,0.0028,39.0,-0.004081632653061225,1660004460000,1660006800000,23832.0,23765.0,1660005240000,23862.0,2022-08-09 00:00:00,sell,1m,-2
75,closed,0.0038,5.0,-0.0059330948874395115,1660011000000,1660011300000,23675.5,23765.0,1660011300000,23624.0,2022-08-09 00:00:00,buy,1m,-4
74,closed,0.0017,1.0,-0.0021752444510147622,1660011300000,1660011360000,23635.0,23675.5,1660011300000,23624.0,2022-08-09 00:00:00,buy,15m,2
73,closed,0.0255,1324.0,-0.047133488470488684,1660053360000,1660132800000,23048.0,23635.0,1660092000000,22521.0,2022-08-09 00:00:00,buy,15m,-2
53,closed,0.0028,20.0,-0.016292478378614483,1660092000000,1660093200000,22829.5,22894.0,1660092000000,22521.0,2022-08-07 00:00:00,buy,15m,-2
52,closed,0.0066,20.0,-0.013513217547471474,1660092000000,1660093200000,22679.5,22829.5,1660092000000,22521.0,2022-08-07 00:00:00,buy,15m,-3
72,closed,0.0148,440.0,-0.022865324540090246,1660092000000,1660118400000,22711.0,23048.0,1660092000000,22521.0,2022-08-09 00:00:00,buy,15m,-3
78,closed,0.0035,6.0,-0.006482880161127896,1660135620000,1660135980000,23915.0,23832.0,1660135620000,23986.5,2022-08-09 00:00:00,sell,1m,2
79,closed,0.003,1.0,-0.0029897553836504285,1660135620000,1660135680000,23986.0,23915.0,1660135620000,23986.5,2022-08-09 00:00:00,sell,1m,3
80,closed,0.0042,2.0,-0.004273326106895689,1660136640000,1660136760000,24087.5,23986.0,1660136640000,24088.5,2022-08-09 00:00:00,sell,1m,4
96,closed,0.0073,1184.0,-0.04535456164240075,1660176960000,1660248000000,24043.0,23867.5,1660221000000,24950.0,2022-08-11 00:00:00,sell,1m,3
98,closed,0.0006,35.0,-0.01060975106303926,1660181100000,1660183200000,24236.5,24223.0,1660182660000,24480.0,2022-08-11 00:00:00,sell,15m,4
97,closed,0.0074,1115.0,-0.03772407769413135,1660181100000,1660248000000,24223.0,24043.0,1660221000000,24950.0,2022-08-11 00:00:00,sell,1m,4
81,closed,0.0061,875.0,-0.03580695381421899,1660181100000,1660233600000,24236.5,24087.5,1660221000000,24950.0,2022-08-09 00:00:00,sell,15m,4
12,closed,0.0038,35.0,-0.012302284710017574,1660181100000,1660183200000,24275.0,24182.5,1660182660000,24480.0,2022-08-01 00:00:00,sell,15m,3
26,closed,0.0261,1835.0,-0.05539222943677164,1660181100000,1660291200000,24275.0,23640.5,1660221000000,24950.0,2022-08-03 00:00:00,sell,15m,3
43,closed,0.0147,661.0,-0.03173782694096971,1660193940000,1660233600000,24542.5,24182.5,1660221000000,24950.0,2022-08-05 00:00:00,sell,15m,4
64,closed,0.0418,1468.0,-0.054410987849973586,1660203120000,1660291200000,24695.0,23662.5,1660221000000,24950.0,2022-08-07 00:00:00,sell,1h,4
99,closed,0.0186,508.0,-0.029439069172529038,1660203120000,1660233600000,24695.0,24236.5,1660221000000,24950.0,2022-08-11 00:00:00,sell,1h,4
82,closed,0.0186,508.0,-0.029439069172529038,1660203120000,1660233600000,24695.0,24236.5,1660221000000,24950.0,2022-08-09 00:00:00,sell,1h,4
13,closed,0.017,268.0,-0.01909371781668383,1660203120000,1660219200000,24695.0,24275.0,1660203120000,24738.5,2022-08-01 00:00:00,sell,15m,4
27,closed,0.017,268.0,-0.01909371781668383,1660203120000,1660219200000,24695.0,24275.0,1660203120000,24738.5,2022-08-03 00:00:00,sell,15m,4
44,closed,0.0062,3.0,-0.007986146480594886,1660203120000,1660203300000,24695.0,24542.5,1660203120000,24738.5,2022-08-05 00:00:00,sell,1h,4
83,closed,0.0098,3.0,-0.010325976918404535,1660221000000,1660221180000,24938.5,24695.0,1660221000000,24950.0,2022-08-09 00:00:00,sell,4h,2
100,closed,0.0098,3.0,-0.010325976918404535,1660221000000,1660221180000,24938.5,24695.0,1660221000000,24950.0,2022-08-11 00:00:00,sell,4h,2
28,closed,0.0098,3.0,-0.010325976918404535,1660221000000,1660221180000,24938.5,24695.0,1660221000000,24950.0,2022-08-03 00:00:00,sell,4h,2
65,closed,0.0098,3.0,-0.010325976918404535,1660221000000,1660221180000,24938.5,24695.0,1660221000000,24950.0,2022-08-07 00:00:00,sell,4h,2
14,closed,0.0098,3.0,-0.010325976918404535,1660221000000,1660221180000,24938.5,24695.0,1660221000000,24950.0,2022-08-01 00:00:00,sell,4h,2
45,closed,0.0098,3.0,-0.010325976918404535,1660221000000,1660221180000,24938.5,24695.0,1660221000000,24950.0,2022-08-05 00:00:00,sell,4h,2
95,closed,0.0074,60.0,-0.008027284448696086,1660258800000,1660262400000,23867.5,24043.0,1660259340000,23850.0,2022-08-11 00:00:00,buy,1m,2
94,closed,0.0034,1.0,-0.004085052896197759,1660263240000,1660263300000,23786.0,23867.5,1660263300000,23770.0,2022-08-11 00:00:00,buy,1m,-2
93,closed,0.007,22.0,-0.009627511981838055,1660304280000,1660305600000,23620.0,23786.0,1660304340000,23557.0,2022-08-11 00:00:00,buy,1m,-3
113,closed,0.004,14.0,-0.004441260744985674,1660349760000,1660350600000,24332.0,24430.0,1660350180000,24321.5,2022-08-13 00:00:00,buy,1m,3
114,closed,0.004,436.0,-0.021987506164721355,1660351440000,1660377600000,24430.0,24332.0,1660371360000,24867.0,2022-08-13 00:00:00,sell,1m,4
115,closed,0.002,1.0,-0.002537863282848956,1660352340000,1660352400000,24480.0,24430.0,1660352400000,24492.0,2022-08-13 00:00:00,sell,15m,3
116,closed,0.0188,275.0,-0.022508169934640523,1660461900000,1660478400000,24950.0,24480.0,1660463400000,25031.0,2022-08-13 00:00:00,sell,15m,4
112,closed,0.0053,178.0,-0.009164885747164227,1660496520000,1660507200000,24203.0,24332.0,1660500180000,24109.0,2022-08-13 00:00:00,buy,1m,2
126,closed,0.0038,28.0,-0.008944507128936302,1660521720000,1660523400000,24279.5,24372.5,1660522620000,24154.5,2022-08-15 00:00:00,buy,1m,-2
125,closed,0.0026,7.0,-0.003809798389587924,1660522080000,1660522500000,24216.0,24279.5,1660522260000,24187.0,2022-08-15 00:00:00,buy,1m,-3
127,closed,0.0038,205.0,-0.03787145534298482,1660523700000,1660536000000,24372.5,24279.5,1660533420000,25199.0,2022-08-15 00:00:00,sell,1m,2
128,closed,0.0026,149.0,-0.03391117037644887,1660527060000,1660536000000,24435.5,24372.5,1660533420000,25199.0,2022-08-15 00:00:00,sell,1m,3
129,closed,0.0042,139.0,-0.03124552393034724,1660527660000,1660536000000,24539.0,24435.5,1660533420000,25199.0,2022-08-15 00:00:00,sell,1m,4
130,closed,0.006,112.0,-0.02689596153062472,1660529280000,1660536000000,24688.0,24539.0,1660533420000,25199.0,2022-08-15 00:00:00,sell,15m,3
131,closed,0.0137,48.0,-0.020698314970836032,1660533120000,1660536000000,25031.0,24688.0,1660533420000,25199.0,2022-08-15 00:00:00,sell,15m,4
111,closed,0.0047,62.0,-0.011114324670495394,1660546680000,1660550400000,24090.0,24203.0,1660549140000,23934.0,2022-08-13 00:00:00,buy,1m,-2
124,closed,0.0044,62.0,-0.011645193260654113,1660546680000,1660550400000,24109.0,24216.0,1660549140000,23934.0,2022-08-15 00:00:00,buy,1m,-4
110,closed,0.0025,2.0,-0.0035284350352843504,1660547580000,1660547700000,24029.5,24090.0,1660547700000,24005.0,2022-08-13 00:00:00,buy,1m,-3
123,closed,0.0042,45.0,-0.0072587000705130866,1660547700000,1660550400000,24008.0,24109.0,1660549140000,23934.0,2022-08-15 00:00:00,buy,15m,-2
109,closed,0.004,1.0,-0.0045568988118770675,1660551240000,1660551300000,23934.0,24029.5,1660551240000,23920.0,2022-08-13 00:00:00,buy,1m,-4
141,closed,0.0075,224.0,-0.012449267133514184,1660695360000,1660708800000,23957.0,23776.5,1660705920000,24072.5,2022-08-17 00:00:00,sell,1m,2
142,closed,0.0015,3.0,-0.0028175481070250867,1660695480000,1660695660000,23993.0,23957.0,1660695540000,24024.5,2022-08-17 00:00:00,sell,1m,3
143,closed,0.0022,33.0,-0.0033134664277080813,1660705920000,1660707900000,24045.0,23993.0,1660705920000,24072.5,2022-08-17 00:00:00,sell,1m,4
140,closed,0.0076,1.0,-0.012814626205284467,1660721100000,1660721160000,23776.5,23957.0,1660721100000,23650.0,2022-08-17 00:00:00,buy,1m,-2
138,closed,0.0018,1.0,-0.00307718248113645,1660721100000,1660721160000,23680.0,23723.0,1660721100000,23650.0,2022-08-17 00:00:00,buy,1m,-4
139,closed,0.0023,1.0,-0.005320379366180893,1660721100000,1660721160000,23723.0,23776.5,1660721100000,23650.0,2022-08-17 00:00:00,buy,1m,-3
137,closed,0.0052,13.0,-0.006756756756756757,1660738620000,1660739400000,23557.0,23680.0,1660738620000,23520.0,2022-08-17 00:00:00,buy,15m,-4
92,open,-0.2721,167659.0,-0.34631668077900085,1660743660000,1670803200000,23463.5,23620.0,1669067520000,15440.0,2022-08-11 00:00:00,buy,1m,-4
122,open,-0.2721,167659.0,-0.35688103965344886,1660743660000,1670803200000,23463.5,24008.0,1669067520000,15440.0,2022-08-15 00:00:00,buy,15m,-3
108,open,-0.2701,167653.0,-0.35489262137544914,1660744020000,1670803200000,23398.0,23934.0,1669067520000,15440.0,2022-08-13 00:00:00,buy,15m,-2
91,closed,0.0114,237.0,-0.01267926779892173,1660766580000,1660780800000,23200.0,23463.5,1660766580000,23166.0,2022-08-11 00:00:00,buy,15m,-2
107,open,-0.2621,165638.0,-0.3401145397042482,1660864920000,1670803200000,23145.5,23398.0,1669067520000,15440.0,2022-08-13 00:00:00,buy,15m,-3
148,open,-0.2607,165591.0,-0.33531361659993975,1660867740000,1670803200000,23100.0,23229.0,1669067520000,15440.0,2022-08-19 00:00:00,buy,1m,-4
90,open,-0.2582,165589.0,-0.33448275862068966,1660867860000,1670803200000,23023.0,23200.0,1669067520000,15440.0,2022-08-11 00:00:00,buy,15m,-3
147,open,-0.2491,165511.0,-0.3316017316017316,1660872540000,1670803200000,22743.5,23100.0,1669067520000,15440.0,2022-08-19 00:00:00,buy,1h,-3
136,open,-0.247,165209.0,-0.3445684934414399,1660890660000,1670803200000,22679.5,23557.0,1669067520000,15440.0,2022-08-17 00:00:00,buy,1h,-2
89,open,-0.2417,165203.0,-0.329366285888025,1660891020000,1670803200000,22521.0,23023.0,1669067520000,15440.0,2022-08-11 00:00:00,buy,15m,-4
135,closed,0.0147,36083.0,-0.18644590930135144,1660891020000,1663056000000,22350.0,22679.5,1662517440000,18451.0,2022-08-17 00:00:00,buy,1h,-3
34,closed,0.0049,34643.0,-0.17844023420976468,1660891020000,1662969600000,22350.0,22458.5,1662517440000,18451.0,2022-08-05 00:00:00,buy,1m,-4
121,open,-0.2417,165203.0,-0.3419566560828521,1660891020000,1670803200000,22521.0,23463.5,1669067520000,15440.0,2022-08-15 00:00:00,buy,15m,-4
120,closed,0.0077,35843.0,-0.180720216686648,1660891020000,1663041600000,22350.0,22521.0,1662517440000,18451.0,2022-08-15 00:00:00,buy,1h,-3
35,closed,0.0024,35843.0,-0.18039267945984364,1660891020000,1663041600000,22458.5,22512.0,1662517440000,18451.0,2022-08-05 00:00:00,buy,1m,-3
146,closed,0.0176,36323.0,-0.18873524303647196,1660891020000,1663070400000,22350.0,22743.5,1662517440000,18451.0,2022-08-19 00:00:00,buy,1h,-4
50,closed,0.0002,34163.0,-0.17445190156599552,1660891020000,1662940800000,22345.5,22350.0,1662517440000,18451.0,2022-08-07 00:00:00,buy,1h,-2
51,closed,0.0147,36083.0,-0.18644590930135144,1660891020000,1663056000000,22350.0,22679.5,1662517440000,18451.0,2022-08-07 00:00:00,buy,15m,-4
106,open,-0.2417,165203.0,-0.3329156855544274,1660891020000,1670803200000,22521.0,23145.5,1669067520000,15440.0,2022-08-13 00:00:00,buy,15m,-4
36,closed,0.0085,36083.0,-0.18728802360921465,1660891020000,1663056000000,22512.0,22703.0,1662517440000,18451.0,2022-08-05 00:00:00,buy,1m,-2
70,closed,0.0002,34163.0,-0.17445190156599552,1660891020000,1662940800000,22345.5,22350.0,1662517440000,18451.0,2022-08-09 00:00:00,buy,1h,-2
88,closed,0.0079,35843.0,-0.180720216686648,1660891020000,1663041600000,22345.5,22521.0,1662517440000,18451.0,2022-08-11 00:00:00,buy,1h,-2
105,closed,0.0077,35843.0,-0.180720216686648,1660891020000,1663041600000,22350.0,22521.0,1662517440000,18451.0,2022-08-13 00:00:00,buy,1h,-2
71,closed,0.0162,36323.0,-0.18757430320109197,1660891020000,1663070400000,22350.0,22711.0,1662517440000,18451.0,2022-08-09 00:00:00,buy,15m,-4
87,closed,0.0455,34162.0,-0.17428565035465754,1660891080000,1662940800000,21374.0,22345.5,1662517440000,18451.0,2022-08-11 00:00:00,buy,1h,-3
4,closed,0.0478,34162.0,-0.1751346759952612,1660891080000,1662940800000,21347.5,22368.5,1662517440000,18451.0,2022-08-01 00:00:00,buy,15m,-3
18,closed,0.0593,35842.0,-0.18504449990062058,1660891080000,1663041600000,21374.0,22640.5,1662517440000,18451.0,2022-08-03 00:00:00,buy,1h,-2
69,closed,0.0455,34162.0,-0.17428565035465754,1660891080000,1662940800000,21374.0,22345.5,1662517440000,18451.0,2022-08-09 00:00:00,buy,1h,-3
104,closed,0.0367,34162.0,-0.17445190156599552,1660891080000,1662940800000,21558.0,22350.0,1662517440000,18451.0,2022-08-13 00:00:00,buy,1h,-3
33,closed,0.0224,34162.0,-0.17445190156599552,1660891080000,1662940800000,21860.0,22350.0,1662517440000,18451.0,2022-08-05 00:00:00,buy,1h,-2
49,closed,0.0455,34162.0,-0.17428565035465754,1660891080000,1662940800000,21374.0,22345.5,1662517440000,18451.0,2022-08-07 00:00:00,buy,1h,-3
134,closed,0.0623,33253.0,-0.17445190156599552,1660945620000,1662940800000,21040.0,22350.0,1662517440000,18451.0,2022-08-17 00:00:00,buy,1h,-4
32,closed,0.039,6853.0,-0.05169258920402562,1660945620000,1661356800000,21040.0,21860.0,1661029320000,20730.0,2022-08-05 00:00:00,buy,1h,-3
3,closed,0.0263,247.0,-0.027778428387398992,1660953180000,1660968000000,20800.5,21347.5,1660953300000,20754.5,2022-08-01 00:00:00,buy,15m,-4
154,closed,0.0061,1918.0,-0.036180689359880114,1661040120000,1661155200000,21148.0,21019.5,1661115120000,21780.0,2022-08-21 00:00:00,sell,1m,2
155,closed,0.0042,219.0,-0.00751844146018536,1661041260000,1661054400000,21237.0,21148.0,1661050140000,21307.0,2022-08-21 00:00:00,sell,1m,3
156,closed,0.005,1190.0,-0.025568583133210906,1661069400000,1661140800000,21343.0,21237.0,1661115120000,21780.0,2022-08-21 00:00:00,sell,1m,4
153,closed,0.0061,43.0,-0.013712880650652544,1661155320000,1661157900000,21019.5,21148.0,1661156340000,20858.0,2022-08-21 00:00:00,buy,1m,-2
152,closed,0.0034,19.0,-0.00768334165893575,1661155860000,1661157000000,20948.5,21019.5,1661156340000,20858.0,2022-08-21 00:00:00,buy,1m,-3
165,closed,0.0098,434.0,-0.030318506825146252,1661215560000,1661241600000,21330.0,21538.0,1661235060000,20885.0,2022-08-23 00:00:00,buy,1m,3
164,closed,0.0038,33.0,-0.0037974683544303796,1661220720000,1661222700000,21250.0,21330.0,1661220720000,21249.0,2022-08-23 00:00:00,buy,1m,2
163,closed,0.0064,94.0,-0.017176470588235293,1661232360000,1661238000000,21114.0,21250.0,1661235060000,20885.0,2022-08-23 00:00:00,buy,1m,-2
162,closed,0.0036,88.0,-0.010845884247418775,1661232720000,1661238000000,21038.0,21114.0,1661235060000,20885.0,2022-08-23 00:00:00,buy,1m,-3
161,closed,0.0039,24.0,-0.005109801311911778,1661232960000,1661234400000,20955.5,21038.0,1661233560000,20930.5,2022-08-23 00:00:00,buy,1m,-4
166,closed,0.0097,11.0,-0.011017346460384434,1661248140000,1661248800000,21538.0,21330.0,1661248140000,21565.0,2022-08-23 00:00:00,sell,1m,4
174,closed,0.0042,30.0,-0.006436116876151389,1661385600000,1661387400000,21351.0,21441.5,1661386500000,21303.5,2022-08-25 00:00:00,buy,1m,-4
175,closed,0.0042,1640.0,-0.021497822116060137,1661388000000,1661486400000,21441.5,21351.0,1661414760000,21810.0,2022-08-25 00:00:00,sell,1m,-3
176,closed,0.0051,89.0,-0.00909451297717044,1661391060000,1661396400000,21551.0,21441.5,1661391300000,21636.5,2022-08-25 00:00:00,sell,1m,-2
177,closed,0.0053,344.0,-0.012018003804927846,1661408160000,1661428800000,21665.5,21551.0,1661414760000,21810.0,2022-08-25 00:00:00,sell,1m,2
178,closed,0.0041,60.0,-0.006669589900994669,1661414400000,1661418000000,21755.0,21665.5,1661414760000,21810.0,2022-08-25 00:00:00,sell,1m,3
173,closed,0.0157,20220.0,-0.13582501990539084,1661526000000,1662739200000,21022.0,21351.0,1662517440000,18451.0,2022-08-25 00:00:00,buy,15m,-2
172,closed,0.0079,19736.0,-0.12230044715060413,1661526240000,1662710400000,20858.0,21022.0,1662517440000,18451.0,2022-08-25 00:00:00,buy,15m,-3
160,closed,0.0109,19725.0,-0.11951516308367732,1661526900000,1662710400000,20730.0,20955.5,1662517440000,18451.0,2022-08-23 00:00:00,buy,15m,-4
